IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
104.16.5.246,4,4,0,233.89,204.57
104.16.3.231,4,4,0,211.84,51.68
141.101.115.108,4,4,0,208.52,45.59
188.114.97.186,4,4,0,202.78,42.97
198.41.209.162,4,4,0,214.72,42.33
141.101.114.78,4,4,0,210,40.3
104.16.57.248,4,4,0,210.43,39.88
190.93.245.99,4,4,0,205.52,38.94
162.159.143.132,4,4,0,160.74,38.69
104.16.9.9,4,4,0,215.63,38.23
162.159.153.41,4,4,0,154.37,38.22
162.159.160.129,4,4,0,214.66,37.63
104.16.66.5,4,4,0,235.48,36.92
172.67.75.238,4,4,0,176.47,36.6
104.16.0.229,4,4,0,228.11,36.6
104.16.20.32,4,4,0,224.12,36.53
104.16.7.165,4,4,0,224.06,35.74
104.16.4.67,4,4,0,179.97,35.51
104.16.23.182,4,4,0,225.07,35.44
104.16.65.107,4,4,0,206.17,35.42
104.16.60.200,4,4,0,220.53,35.28
104.16.77.95,4,4,0,234.03,34.78
104.16.36.156,4,4,0,212.27,33.98
172.67.64.108,4,4,0,155.59,33.85
172.67.65.195,4,4,0,169.55,32.11
104.16.11.101,4,4,0,191.05,31.64
162.159.60.81,4,4,0,233.48,31.51
104.16.19.118,4,4,0,234.57,31.03
104.16.33.191,4,4,0,219.79,30.94
104.16.59.175,4,4,0,233.65,30.7
104.16.62.153,4,4,0,233.86,30.67
104.16.49.115,4,4,0,224.53,30.67
172.67.67.66,4,4,0,169.72,30.43
188.114.96.185,4,4,0,221.99,30.09
104.16.47.166,4,4,0,223.26,29.05
172.67.77.225,4,4,0,176.01,28.66
104.16.37.86,4,4,0,227.36,28.37
108.162.198.226,4,4,0,217.97,28.34
104.16.32.217,4,4,0,216.59,28.23
162.159.129.196,4,4,0,165.34,28.02
198.41.219.121,4,4,0,218.75,27.83
104.16.78.122,4,4,0,211.71,27.82
172.67.69.138,4,4,0,181.91,27.6
104.16.38.225,4,4,0,206.46,27.35
104.16.35.3,4,4,0,227.25,27.29
104.16.64.147,4,4,0,221.55,26.76
104.16.69.190,4,4,0,228.99,26.18
104.16.30.118,4,4,0,235.79,26.17
104.16.34.195,4,4,0,223.86,25.69
172.67.78.105,4,4,0,175.98,25.39
104.16.42.3,4,4,0,233.1,25.14
162.159.142.12,4,4,0,160.63,25.05
172.67.74.80,4,4,0,180.39,25.02
104.16.21.91,4,4,0,229.86,24.39
104.16.6.124,4,4,0,199.83,23.92
104.16.75.174,4,4,0,230.56,22.88
104.16.27.123,4,4,0,220.96,22.17
104.16.58.219,4,4,0,226.49,21.87
104.16.48.252,4,4,0,221.39,21.54
104.16.43.9,4,4,0,229.95,21.12
172.67.68.254,4,4,0,172.04,20.89
172.67.71.114,4,4,0,166.89,18.85
104.16.31.6,4,4,0,235.89,17.69
104.16.73.65,4,4,0,227.31,16.94
162.159.140.17,4,4,0,167.33,12.72
162.159.141.250,4,4,0,167.42,11.32
104.24.12.224,4,4,0,233.14,10.55
162.159.136.54,4,4,0,167.54,10.35
2606:4700:a9:b9:4c93:2be:7651:4207,4,4,0,225.24,38.69
2606:4700:a9:e0a3:3a2b:7a12:c2ae:a183,4,4,0,226.02,37.01
2606:4700:a9:0:89:93d3:731c:9a65,4,4,0,224.59,35.79
2606:4700:a9:b9:64a:9a8c:9825:ac81,4,4,0,220.89,34.33
2606:4700:a9:b9:4c93:e843:f6:dbd3,4,4,0,223.87,31.32
2606:4700:a9::c6b0:bfae,4,4,0,224.21,30.69
2606:4700:a9:e005:7aa1:279a:e2bd:150a,4,4,0,226.26,28.44
2606:4700:a9:194a:940e:3a3f:89dd:c351,4,4,0,226.15,26.67
2606:4700:a9:e0a3:3aa9:cec8:d8ea:4f87,4,4,0,225.48,25.99
2606:4700:a9::b1:6b7f,4,4,0,220.54,22.59
2606:4700:a9::635:8c96:68a2,4,4,0,225.2,18.36
2606:4700:3035:dfda:66e2:ca77:d4b3:e920,4,4,0,223.89,15.78
2606:4700:e3:a75c:9195:6052:4647:7198,4,4,0,220.44,12.75
2a06:98c1:310d:b4:8ec4:528f:ead:4f75,4,4,0,224.05,11.43
2606:4700:3038:ee1a:d730:79f2:80b2:b7b0,4,4,0,223.6,11.39
2606:4700:10:f2ee:9d8a:39c1:6250:aa33,4,4,0,221.79,11.08
2606:4700:3002:7ef6:76ac:c44c:5bdb:4b34,4,4,0,224.13,10.42
2606:4700:e0:ec8d:bcbe:94ad:5631:4815,4,4,0,225.21,10.02
2606:4700:56:9510:a7da:dbd1:c245:fed3,4,4,0,223.96,10.02
